City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Husavik,IS,2023-01-24 22:55:52,66.0449,-17.3389,34.0,94,83,6.53
147,Vardo,NO,2023-01-24 22:55:52,70.3705,31.1107,30.18,74,100,27.63
148,Vestmanna,FO,2023-01-24 22:55:52,62.1564,-7.1664,45.52,87,100,20.71
149,Mount Isa,AU,2023-01-24 22:55:53,-20.7333,139.5,83.97,61,86,8.05
150,Lagoa,PT,2023-01-24 22:55:53,39.05,-27.9833,59.65,80,39,20.76
151,Todos Santos,MX,2023-01-24 22:55:53,23.45,-110.2167,73.44,36,11,17.45
152,Saint-Philippe,RE,2023-01-24 22:55:54,-21.3585,55.7679,72.99,93,100,13.06
153,Vestmannaeyjar,IS,2023-01-24 22:55:54,63.4427,-20.2734,42.12,87,100,28.63
154,Ilulissat,GL,2023-01-24 22:55:54,69.2167,-51.1,10.27,96,100,6.67
155,Cockburn Town,TC,2023-01-24 22:53:38,21.4612,-71.1419,77.81,70,0,17.65
156,Solwezi,ZM,2023-01-24 22:55:55,-12.1688,26.3894,61.77,98,100,4.5
157,Skibbereen,IE,2023-01-24 22:55:55,51.55,-9.2667,48.11,98,100,6.78
158,Hasaki,JP,2023-01-24 22:55:55,35.7333,140.8333,27.28,45,12,25.21
159,Ca Mau,VN,2023-01-24 22:55:56,9.1769,105.15,73.74,79,100,8.55
160,Leningradskiy,RU,2023-01-24 22:55:56,69.3833,178.4167,-23.44,91,26,8.95
161,Sambava,MG,2023-01-24 22:55:57,-14.2667,50.1667,75.25,87,100,5.17
162,Hovd,MN,2023-01-24 22:55:57,48.0056,91.6419,-4.34,75,60,4.94
163,Bozeman,US,2023-01-24 22:55:01,45.6796,-111.0386,28.2,75,100,5.75
164,Kindu,CD,2023-01-24 22:55:57,-2.95,25.95,67.44,98,100,2.13
165,Mount Gambier,AU,2023-01-24 22:55:58,-37.8333,140.7667,67.64,50,17,4.05
166,Harper,LR,2023-01-24 22:55:58,4.375,-7.7169,79.48,83,23,3.18
167,Cabo San Lucas,MX,2023-01-24 22:51:01,22.8909,-109.9124,72.52,58,15,1.01
168,San Jose,US,2023-01-24 22:52:43,37.3394,-121.895,65.61,35,20,5.99
169,Torbay,CA,2023-01-24 22:55:59,47.6666,-52.7314,38.57,93,100,23.02
170,Verkhnevilyuysk,RU,2023-01-24 22:56:00,63.4453,120.3167,-53.03,100,96,0.94
171,Palana,RU,2023-01-24 22:56:00,59.1167,159.9667,-0.18,95,85,2.77
172,Yulara,AU,2023-01-24 22:56:01,-25.2406,130.9889,82.36,18,98,16.24
173,Bethel,US,2023-01-24 22:56:01,41.3712,-73.414,39.94,66,28,4.0
174,Vanimo,PG,2023-01-24 22:56:01,-2.6741,141.3028,79.77,82,99,2.75
175,Vilyuysk,RU,2023-01-24 22:56:02,63.7553,121.6247,-49.76,100,100,3.85
176,Mumford,GH,2023-01-24 22:56:03,5.2618,-0.759,79.68,88,4,7.7
177,Turukhansk,RU,2023-01-24 22:56:03,65.8167,87.9833,-28.17,92,33,6.71
